Dataset,Variant,accuracy,accuracy_std,f1_weighted,f1_std,dpd,dpd_std
adult,Full AE-NS,0.7600696043809817,0.0361636586609279,0.7647777836351338,0.027295233718708317,0.06729498856339199,0.025240982136036854
adult,w/o Reconstruction,0.759148369926813,0.036000320607759914,0.769184682087916,0.02760393192925975,0.05074466563880809,0.037750705023978315
adult,w/o Orthogonality,0.7645222375761298,0.03758506391471713,0.764717718748399,0.027300831710527326,0.06847676009586816,0.024954963456325828
adult,w/o Lagrangian (Fixed Penalty),0.8006551000562977,0.02633760849299383,0.8049892654326648,0.024229507142624434,0.054359530511377076,0.029238197561383714
adult,MLP Encoder,0.8223041097292594,0.004266679973522948,0.8288828294145834,0.002769883249238368,0.13238586622317186,0.027716877118745417
adult,Decoder Depth=2,0.7198423665489533,0.029658443780855075,0.6987211655674773,0.032259058546326394,0.013630479175022766,0.019109260120403978
adult,Decoder Depth=0 (Linear),0.7590460105430165,0.04801991696986186,0.7672883457149425,0.038112664889587686,0.05054879630700491,0.035853124003653064
compas,Full AE-NS,0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.12192364719557769,0.030628360588025934
compas,w/o Reconstruction,0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.12192364719557769,0.030628360588025934
compas,w/o Orthogonality,0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.12192364719557769,0.030628360588025934
compas,w/o Lagrangian (Fixed Penalty),0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.12192364719557769,0.030628360588025934
compas,MLP Encoder,0.6445707070707071,0.016298397277052498,0.6417685376467613,0.016873740674778554,0.15277695298199692,0.023884816370858427
compas,Decoder Depth=2,0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.12192364719557769,0.030628360588025934
compas,Decoder Depth=0 (Linear),0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.12192364719557769,0.030628360588025934
credit,Full AE-NS,0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.024914464955806,0.008121993770053642
credit,w/o Reconstruction,0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.024914464955806,0.008121993770053642
credit,w/o Orthogonality,0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.024914464955806,0.008121993770053642
credit,w/o Lagrangian (Fixed Penalty),0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.024914464955806,0.008121993770053642
credit,MLP Encoder,0.7715555555555556,0.010633919640169383,0.77859915085082,0.007587171871881058,0.0199146183687083,0.009140353375386148
credit,Decoder Depth=2,0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.024914464955806,0.008121993770053642
credit,Decoder Depth=0 (Linear),0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.024914464955806,0.008121993770053642
