Dataset,Sweep,Value,accuracy,accuracy_std,f1_weighted,f1_std,dpd,dpd_std
adult,alpha,0.1,0.7796714263780132,0.0,0.7854379895655539,0.0,0.004094244429577676,0.0
adult,alpha,0.5,0.8146783356364194,0.0,0.819737455936215,0.0,0.08085080770591069,0.0
adult,alpha,1.0,0.8108398587440504,0.0,0.818497259122592,0.0,0.10617146119986196,0.0
adult,beta,0.01,0.8146783356364194,0.0,0.819737455936215,0.0,0.08085080770591069,0.0
adult,beta,0.05,0.8146783356364194,0.0,0.819737455936215,0.0,0.08085080770591069,0.0
adult,beta,0.2,0.8146783356364194,0.0,0.819737455936215,0.0,0.08085080770591069,0.0
compas,alpha,0.1,0.6448863636363636,0.0,0.6361118488661396,0.0,0.18868850447797814,0.0
compas,alpha,0.5,0.6174242424242424,0.0,0.5986229792695632,0.0,0.13532081953134587,0.0
compas,alpha,1.0,0.646780303030303,0.0,0.6431879759425058,0.0,0.17592933382407067,0.0
compas,beta,0.01,0.6316287878787878,0.0,0.6189375012649855,0.0,0.1361796098638204,0.0
compas,beta,0.05,0.6174242424242424,0.0,0.5986229792695632,0.0,0.13532081953134587,0.0
compas,beta,0.2,0.5303030303030303,0.0,0.4699195814898294,0.0,0.07520549625812789,0.0
credit,alpha,0.1,0.7815,0.0,0.7803246458334818,0.0,0.0030343437167193177,0.0
credit,alpha,0.5,0.7883333333333333,0.0,0.7883903744257853,0.0,0.015243689365773083,0.0
credit,alpha,1.0,0.7503333333333333,0.0,0.7614745475377092,0.0,0.007232947900096265,0.0
credit,beta,0.01,0.7883333333333333,0.0,0.7883903744257853,0.0,0.015243689365773083,0.0
credit,beta,0.05,0.7883333333333333,0.0,0.7883903744257853,0.0,0.015243689365773083,0.0
credit,beta,0.2,0.7883333333333333,0.0,0.7883903744257853,0.0,0.015243689365773083,0.0
